product_name,supplier_item_code,detail_url,image_url,page_number,taxonomy_label,match_type,match_confidence
Farola Derecho Para Ford Ecosport Modelos 2004 A 2008 Sp,2991,https://www.partcar.com.co/importacion-1/farola-ford-ecosport-2004%E2%80%932008-derecho-sp,https://www.autolatas.co/cat/2991.jpg,2,lighting_headlamps,category_only,medium
Farola Izquierdo Para Ford Ecosport Modelos 2004 A 2008 Sp,2990,https://www.partcar.com.co/importacion-1/farola-ford-ecosport-2004%E2%80%932008-izquierdo-sp,https://www.autolatas.co/cat/2990.jpg,2,lighting_headlamps,category_only,medium
Farola Derecho Para Ford 150 Modelos 1992 A 1996 Eagle Eyes,2989,https://www.partcar.com.co/importacion-1/farola-ford-150-1992%E2%80%931996-derecho-eagle-eyes,https://www.autolatas.co/cat/2989.jpg,2,lighting_headlamps,category_only,medium
Farola Izquierdo Para Ford 150 Modelos 1992 A 1996 Eagle Eyes,2988,https://www.partcar.com.co/importacion-1/farola-ford-150-1992%E2%80%931996-izquierdo-eagle-eyes,https://www.autolatas.co/cat/2988.jpg,2,lighting_headlamps,category_only,medium
Farola Derecho Para Ford 150 Modelos 1992 A 1996 Depo,2987,https://www.partcar.com.co/importacion-1/farola-ford-150-1992%E2%80%931996-derecho-depo,https://www.autolatas.co/cat/2987.jpg,2,lighting_headlamps,category_only,medium
Farola Derecha Para Ford 150 Modelos 1992 A 1996 Depo,2986,https://www.partcar.com.co/importacion-1/farola-ford-150-1992%E2%80%931996-derecha-depo,https://www.autolatas.co/cat/2986.jpg,2,lighting_headlamps,category_only,medium
Farola Izquierda Para Ford 150 Modelos 1987 A 1991 Depo,2985,https://www.partcar.com.co/importacion-1/farola-ford-150-1987%E2%80%931991-izquierda-depo,https://www.autolatas.co/cat/2985.jpg,2,lighting_headlamps,category_only,medium
Farola Izquierdo Para Ford 150 Modelos 1987 A 1991 Depo,2984,https://www.partcar.com.co/importacion-1/farola-ford-150-1987%E2%80%931991-izquierdo-depo,https://www.autolatas.co/cat/2984.jpg,2,lighting_headlamps,category_only,medium
Farola Derecho Para Daewoo Tico Modelos 1996 A 2001 Todo,2981,https://www.partcar.com.co/importacion-1/farola-daewoo-tico-1996%E2%80%932001-derecho-todo,https://www.autolatas.co/cat/2981.jpg,2,lighting_headlamps,category_only,medium
Farola Izquierdo Para Daewoo Nubira Modelos 1997 A 2002 Depo,2976,https://www.partcar.com.co/importacion-1/farola-daewoo-nubira-1997%E2%80%932002-izquierdo-depo,https://www.autolatas.co/cat/2976.jpg,2,lighting_headlamps,category_only,medium
Farola Izquierdo Para Daewoo Nubira Modelos 1997 A 2002 Sm,2974,https://www.partcar.com.co/importacion-1/farola-daewoo-nubira-1997%E2%80%932002-izquierdo-sm,https://www.autolatas.co/cat/2974.jpg,2,lighting_headlamps,category_only,medium
Farola Derecha Para Daewoo Lanos Modelos 1998 A 2002 Tyc,2971,https://www.partcar.com.co/importacion-1/farola-daewoo-lanos-1998%E2%80%932002-derecha-tyc,https://www.autolatas.co/cat/2971.jpg,2,lighting_headlamps,category_only,medium
Farola Izquierda Para Daewoo Lanos Modelos 1998 A 2002 Tyc,2970,https://www.partcar.com.co/importacion-1/farola-daewoo-lanos-1998%E2%80%932002-izquierda-tyc,https://www.autolatas.co/cat/2970.jpg,2,lighting_headlamps,category_only,medium
Farola Izquierda Para Daewoo Lanos Modelos 1998 A 2002 Todo,2968,https://www.partcar.com.co/importacion-1/farola-daewoo-lanos-1998%E2%80%932002-izquierdo-todo,https://www.autolatas.co/cat/2968.jpg,2,lighting_headlamps,category_only,medium
Farola Derecho Para Daewoo Lanos Modelos 1998 A 2002 Depo,2967,https://www.partcar.com.co/importacion-1/farola-daewoo-lanos-1998%E2%80%932002-derecho-depo,https://www.autolatas.co/cat/2967.jpg,2,lighting_headlamps,category_only,medium
Farola Izquierdo Para Daewoo Lanos Modelos 1998 A 2002 Depo,2966,https://www.partcar.com.co/importacion-1/farola-daewoo-lanos-1998%E2%80%932002-izquierdo-depo,https://www.autolatas.co/cat/2966.jpg,2,lighting_headlamps,category_only,medium
Farola Derecho Para Daewoo Espero Modelos 1993 A 2000 Sm,2965,https://www.partcar.com.co/importacion-1/farola-daewoo-espero-1993%E2%80%932000-derecho-sm,https://www.autolatas.co/cat/2965.jpg,2,lighting_headlamps,category_only,medium
Farola Izquierdo Para Daewoo Espero Modelos 1993 A 2000 Sm,2964,https://www.partcar.com.co/importacion-1/farola-daewoo-espero-1993%E2%80%932000-izquierdo-sm,https://www.autolatas.co/cat/2964.jpg,2,lighting_headlamps,category_only,medium
