product_id,product_name,product_url,price_current,price_original,brand,reference,sku,category_name,subcategory_name,match_type,match_confidence,requires_manual_confirmation
23499,PLUMILLA AEROD. 18 PULG JGOX2,https://parrales.com.co/product/plumilla-aerod-18-pulg-jgox2/,57639,,Hella,,,Plumillas Limpiaparabrisas,Aerodinamicas,manual_confirmation_required,low,True
23512,PLUMILLA AEROD. 18 PULG SOPORTE – METALICO JGOX2,https://parrales.com.co/product/plumilla-aerod-18-pulg-soporte-metalico-jgox2/,16068,,Vektra,,,Plumillas Limpiaparabrisas,Aerodinamicas,manual_confirmation_required,low,True
23500,PLUMILLA AEROD. 20 PULG JGOX2,https://parrales.com.co/product/plumilla-aerod-20-pulg-jgox2-copia/,47636,,,,,Plumillas Limpiaparabrisas,Aerodinamicas,manual_confirmation_required,low,True
23514,PLUMILLA AEROD. 24 PULG SOPORTE – METALICO JGOX2,https://parrales.com.co/product/plumilla-aerod-24-pulg-soporte-metalico-jgox2/,18829,,Vektra,,,Plumillas Limpiaparabrisas,Aerodinamicas,manual_confirmation_required,low,True
23515,PLUMILLA AEROD. 26 PULG SOPORTE – METALICO JGOX2,https://parrales.com.co/product/plumilla-aerod-26-pulg-soporte-metalico-jgox2/,20839,,Vektra,,,Plumillas Limpiaparabrisas,Aerodinamicas,manual_confirmation_required,low,True
23501,PLUMILLA AEROD. 28 PULG,https://parrales.com.co/product/plumilla-aerod-28-pulg/,79437,,Hella,,,Plumillas Limpiaparabrisas,Aerodinamicas,manual_confirmation_required,low,True
22788,RODAMIENTO DE BOLAS (606-2RS C3),https://parrales.com.co/product/rodamiento-de-bolas-606-2rs-c3/,4775,500000,,606-2RS C3,,Repuestos Mecanicos,Rodamientos,exact_reference,high,False
22794,RODAMIENTO DE BOLAS (62000-2RS C3),https://parrales.com.co/product/rodamiento-de-bolas-62000-2rs-c3/,7772,500000,,62000-2RS C3,,Repuestos Mecanicos,Rodamientos,exact_reference,high,False
22790,RODAMIENTO DE BOLAS (6201-2RS C3),https://parrales.com.co/product/rodamiento-de-bolas-6201-2rs-c3/,4663,500000,,6201-2RS C3,,Repuestos Mecanicos,Rodamientos,exact_reference,high,False
22792,Rodamiento de bolas (6203-ZZ C3),https://parrales.com.co/product/rodamiento-de-bolas-6203-zz-c3/,2305,,,6203-ZZ C3,,Repuestos Mecanicos,Rodamientos,exact_reference,high,False
22796,RODAMIENTO DE RUEDA DELANTERO (ABS) (PW37720437CSM88),https://parrales.com.co/product/rodamiento-de-rueda-delantero-abs-pw37720437csm88/,54678,,,ABS,,Repuestos Mecanicos,Rodamientos,exact_reference,high,False
23897,SWITCH DE CORNETA DE AIRE 12V ELECTROVALVULA,https://parrales.com.co/product/switch-de-corneta-de-aire-12v-el-ectrovalvula-pito-pequeno-s-5002/,19800,25000,VEKTRA REF: S-5002 APLICACION: PITO PEQUENO VOLTAJE: 12,S-5002,,Miscelanea Electrica,Switches,exact_reference,high,False
,SWITCH PITO,https://parrales.com.co/product/switch-pulsador-pito-pbs-26b/,4000,25000,VEKTRA REF: PBS-26B FUNCION: PULSADOR,PBS-26B,,Miscelanea Electrica,Switches,exact_reference,high,False
,SWITCH REDONDO PITO ON/OF ROJO 3 PINES,https://parrales.com.co/product/switch-redondo-pito-3p-rojo-on-of-irs-101-8c01434-01/,4000,25000,VEKTRA REF: IRS-101-8C PINES: 3 APLICACION: PITO/ BOCINA COLOR: ROJO NEGRO,IRS-101-8C,IRS-101-8C,Miscelanea Electrica,Switches,exact_reference,high,False
22772,TAPETE METALIZADO AZUL (AJ4002-AZUL),https://parrales.com.co/product/tapete-metalizado-azul-aj4002-azul/,32311,,,AJ4002-AZUL,,Lujos Y Accesorios,Tapetes,exact_reference,high,False
22774,TAPETE METALIZADO CARBON (AJ4002-CARBON),https://parrales.com.co/product/tapete-metalizado-carbon-aj4002-carbon/,32311,460000,,AJ4002-CARBON,,Lujos Y Accesorios,Tapetes,exact_reference,high,False
22776,TAPETE METALIZADO ROJO (AJ4002-ROJO),https://parrales.com.co/product/tapete-metalizado-rojo-aj4002-rojo/,32311,,,AJ4002-ROJO,,Lujos Y Accesorios,Tapetes,exact_reference,high,False
22778,TAPETE PVC 4 PIEZAS NEGRO (AJ4003),https://parrales.com.co/product/tapete-pvc-4-piezas-negro-aj4003/,26925,,,AJ4003,,Lujos Y Accesorios,Tapetes,exact_reference,high,False
22780,TAPETES UNIVERSAL DE CAUCHO NEGRO 3 PIEZAS (RL-401-3-BLACK),https://parrales.com.co/product/tapetes-universal-de-caucho-negro-3-piezas-rl-401-3-black/,56020,,,RL-401-3-BLACK,,Lujos Y Accesorios,Tapetes,exact_reference,high,False
